language,id,name,region,country,gender,url
indonesian,2961,indonesian14,jakarta,indonesian,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2961
irish,1762,irish1,dublin,ireland,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1762
italian,217,italian1,carbonia,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=217
italian,218,italian2,"caltanissetta, sicily",italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=218
italian,219,italian3,florence,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=219
italian,220,italian4,cremona,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=220
italian,440,italian5,"vicenza, veneto",italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=440
italian,473,italian6,naples,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=473
italian,553,italian7,naples,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=553
italian,589,italian8,bari,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=589
italian,619,italian9,turin,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=619
italian,627,italian10,palermo,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=627
italian,641,italian11,cagliari,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=641
italian,681,italian12,bellinzona,switzerland,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=681
italian,733,italian13,enna,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=733
italian,761,italian14,cosenza,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=761
italian,839,italian15,forli,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=839
italian,942,italian16,mantua,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=942
italian,995,italian17,turin,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=995
italian,1043,italian18,grugliasco,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1043
italian,1114,italian19,rome,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1114
italian,1123,italian20,naples,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1123
italian,1124,italian21,trento,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1124
italian,1175,italian22,teramo,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1175
italian,1177,italian23,cuneo,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1177
italian,1406,italian24,milan,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1406
italian,1322,italian25,wiesbaden,germany,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1322
italian,1489,italian26,"siracusa, sicily",italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1489
italian,1543,italian27,milan,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1543
italian,1679,italian28,rome,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1679
italian,1686,italian29,trieste,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1686
italian,1741,italian30,bologna,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1741
italian,1976,italian31,naples,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1976
italian,1984,italian32,sardinia,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1984
italian,2020,italian33,bitonto,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2020
italian,2415,italian35,alessandria,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2415
italian,2600,italian36,naples,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2600
italian,2646,italian37,rome,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2646
italian,2715,italian38,milan,italy,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2715
italian,2852,italian39,cuggiono,italy,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2852
italian,316,sicilian1,fiumedinisi,sicily,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=316
jamaican creole english,967,jamaican creole english1,cave valley,jamaica,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=967
jamaican creole english,1540,jamaican creole english2,kingston,jamaica,male,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1540
jamaican creole english,1944,jamaican creole english3,montego bay,jamaica,female,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1944
